Establishment_ID,Region,Size_Category,Screener_Employees,ISIC_Rev4_Code,ISIC_Division,Manufacturing_Subsector,Year_Started,Manager_Experience_Years,Survey_Weight_Median,Annual_Sales_2024_UGX,Annual_Sales_2022_UGX,Capacity_Utilization_Pct,Permanent_FT_Employees_2024,Permanent_FT_Employees_2022,Labor_Cost_2024_UGX,Raw_Materials_Cost_2024_UGX,Machinery_Replacement_Value_UGX,Direct_Exports_Pct,Monitors_Performance_Indicators,Introduced_New_Product_Service,Introduced_Improved_Process,Working_Capital_Internal_Pct,Working_Capital_Bank_Pct,Working_Capital_Supplier_Credit_Pct,Purchased_Fixed_Assets,Equipment_Investment_Raw_UGX,Has_Financial_Institution_Loan,Applied_For_Loan_2024,Experienced_Power_Outages,Power_Outages_Per_Month_Raw,Electricity_Obstacle,Access_to_Finance_Obstacle,Workforce_Skills_Obstacle,Informal_Competition_Obstacle,Biggest_Obstacle,Figures_Response_Quality,Establishment_Age_Years,Equipment_Investment_UGX,Power_Outages_Per_Month,Direct_Exporter,Sales_Growth_2022_2024_Pct,Sales_CAGR_2022_2024_Pct,Employment_Growth_2022_2024_Pct,Sales_per_Employee_UGX,Labor_Cost_Pct_of_Sales,Raw_Materials_Cost_Pct_of_Sales,Machinery_Value_per_Employee_UGX,Equipment_Investment_Pct_of_Sales,Sales_Outlier_Flag,Firm_Age_Band,Performance_Group
1614206,Northern,Medium,6,1811,18,Printing and reproduction of recorded media,2010,12,1.840,16450000,8210000,70.0,4,2,2165000,7000000,70500000,0.0,Not asked (survey skip: screener employment <20),No,No,70.0,0.0,0.0,No,\N,No,No,Yes,5.0,Minor obstacle,Moderate obstacle,Major obstacle,Minor obstacle,Tax administration,Are estimates computed with some precision,14,0,5,No,100.4,41.6,100.0,4112500,13.2,42.6,17625000,0.0,Normal,10-19 years,High Growth
1614208,Western,Small,6,1410,14,Manufacture of wearing apparel,2000,25,46.711,40000000,15000000,50.0,6,6,\N,30000000,11100000,0.0,Not asked (survey skip: screener employment <20),Yes,Yes,73.0,0.0,7.0,Yes,2500000,Yes,Yes,Yes,3.0,Major obstacle,No obstacle,No obstacle,No obstacle,"Crime, theft and disorder",Are estimates computed with some precision,24,2500000,3,No,166.7,63.3,0.0,6666667,\N,75.0,1850000,6.3,Normal,20-29 years,High Growth
1614212,Central,Small,10,1622,16,Manufacture of wood and products of wood/cork,2014,10,157.867,30000000,15000000,35.0,5,3,10000000,5000000,60000000,0.0,Not asked (survey skip: screener employment <20),No,No,0.0,0.0,0.0,No,\N,No,No,No,\N,No obstacle,No obstacle,No obstacle,Major obstacle,Practices of competitors in the informal sector,Are estimates computed with some precision,10,0,0,No,100.0,41.4,66.7,6000000,33.3,16.7,12000000,0.0,Normal,10-19 years,High Growth
1614213,Central,Large,20,1061,10,Manufacture of food products,2001,15,3.817,2000000,\N,10.0,5,\N,\N,\N,\N,0.0,No,No,No,100.0,0.0,0.0,No,\N,No,No,Yes,6.0,No obstacle,Major obstacle,No obstacle,Very severe obstacle,Access to finance,Are estimates computed with some precision,23,0,6,No,\N,\N,\N,400000,\N,\N,\N,0.0,Normal,20-29 years,Missing
1614215,Central,Large,66,1811,18,Printing and reproduction of recorded media,1997,13,1.000,5000000000,2000000000,100.0,46,38,300000000,1000000000,\N,0.0,Yes,No,No,40.0,50.0,10.0,Yes,85000000,Yes,No,Yes,7.0,Minor obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Tax rates,Are in some case taken from books and in some case estimates,27,85000000,7,No,150.0,58.1,21.1,108695652,6.0,20.0,\N,1.7,Normal,20-29 years,High Growth
1614218,Central,Large,6,2511,25,Manufacture of fabricated metal products,1984,39,1.000,\N,\N,10.0,5,30,\N,\N,\N,0.0,Not asked (survey skip: screener employment <20),Yes,No,90.0,0.0,0.0,No,\N,Yes,No,Yes,4.0,Very severe obstacle,Major obstacle,Minor obstacle,Major obstacle,Electricity,Are in some case taken from books and in some case estimates,40,0,4,No,\N,\N,-83.3,\N,\N,\N,\N,0.0,Normal,30+ years,Missing
1614219,Central,Small,6,1410,14,Manufacture of wearing apparel,1975,50,5.724,3600000,3000000,50.0,6,6,2000000,3500000,10000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,60.0,0.0,0.0,No,\N,No,No,Yes,5.0,Major obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,Tax administration,Are estimates computed with some precision,49,0,5,No,20.0,9.5,0.0,600000,55.6,97.2,1666667,0.0,Normal,30+ years,Middle
1614220,Central,Large,500,1103,11,Manufacture of beverages,1951,25,1.000,50000000000,35000000000,85.0,500,500,2000000000,\N,\N,10.0,Yes,Yes,No,100.0,0.0,0.0,No,\N,No,No,Yes,10.0,Moderate obstacle,No obstacle,No obstacle,Major obstacle,Tax rates,Are estimates computed with some precision,73,0,10,Yes,42.9,19.5,0.0,100000000,4.0,\N,\N,0.0,Review,30+ years,Middle
1614222,Central,Large,50,2511,25,Manufacture of fabricated metal products,1965,17,1.000,1200000000,3000000000,80.0,50,60,200000000,100000000,\N,0.0,Yes,Yes,No,100.0,0.0,0.0,Yes,109500000,No,No,Yes,10.0,Minor obstacle,Minor obstacle,No obstacle,Moderate obstacle,Tax rates,Are taken directly from establishment records,59,109500000,10,No,-60.0,-36.8,-16.7,24000000,16.7,8.3,\N,9.1,Normal,30+ years,Low Growth
1614223,Central,Small,6,1622,16,Manufacture of wood and products of wood/cork,2012,28,143.618,\N,\N,90.0,4,4,1500000,7000000,1500000,75.0,Not asked (survey skip: screener employment <20),No,No,80.0,0.0,0.0,Yes,450000,No,No,Yes,2.0,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Customs and trade regulations,Are arbitrary and unreliable numbers,12,450000,2,Yes,\N,\N,0.0,\N,\N,\N,375000,\N,Normal,10-19 years,Missing
